month,counterfactual
2008-07-01,362954.0021156234
2008-08-01,349423.83711167856
2008-09-01,330549.79925198393
2008-10-01,346105.9652651129
2008-11-01,340969.20180787105
2008-12-01,311267.58956167777
2009-01-01,338043.25864782865
2009-02-01,327230.63179148
2009-03-01,363699.22427001206
2009-04-01,349422.4284876426
2009-05-01,354164.4708990298
2009-06-01,331678.92525879317
2009-07-01,335458.20437519357
2009-08-01,322953.0251219908
2009-09-01,305508.80130074295
2009-10-01,319886.5006436588
2009-11-01,315138.87577763706
2009-12-01,287687.32695029484
2010-01-01,312434.58919352264
2010-02-01,302441.0793584823
2010-03-01,336146.9717790929
2010-04-01,322951.7232091121
2010-05-01,327334.52935843845
2010-06-01,306552.3896908688
2010-07-01,310045.3672550519
2010-08-01,298487.52534335654
2010-09-01,282364.799142006
2010-10-01,295653.30726289045
2010-11-01,291265.3415611222
2010-12-01,265893.40125116415
2011-01-01,288765.91982631583
2011-02-01,279529.4743122076
2011-03-01,310681.9566718856
2011-04-01,298486.322057668
2011-05-01,302537.10610304965
2011-06-01,283329.3298688134
2011-07-01,286557.6948262843
2011-08-01,275875.424148595
2011-09-01,260974.08472372993
2011-10-01,273255.913955736
2011-11-01,269200.36122289626
2011-12-01,245750.48744197033
2012-01-01,266890.28467808006
2012-02-01,258353.55162399687
2012-03-01,287146.05903070234
2012-04-01,275874.3120185343
2012-05-01,279618.22649324645
2012-06-01,261865.5468478384
2012-07-01,264849.3450850482
2012-08-01,254976.31621830567
2012-09-01,241203.83668339724
2012-10-01,252555.2485884762
2012-11-01,248806.92668107993
2012-12-01,227133.51212848767
2013-01-01,246671.85136801974
2013-02-01,238781.82363761694
2013-03-01,265393.13740689174
2013-04-01,254975.28833832353
2013-05-01,258435.58033042282
2013-06-01,242027.76556055195
2013-07-01,244785.52437582295
2013-08-01,235660.43272212363
2013-09-01,222931.29562033032
2013-10-01,233422.77452014954
2013-11-01,229958.4089830671
2013-12-01,209926.87692635335
2014-01-01,227985.07757867425
2014-02-01,220692.76362295635
2014-03-01,245288.12138474244
2014-04-01,235659.48270980534
2014-05-01,238857.63821027483
2014-06-01,223692.80727208816
2014-07-01,226241.65041716516
2014-08-01,217807.83554512553
2014-09-01,206043.00184574927
2014-10-01,215739.69247998713
2014-11-01,212537.77202837367
2014-12-01,194023.74067602394
2015-01-01,210713.9315260063
2015-02-01,203974.05118010505
2015-03-01,226706.17288875545
2015-04-01,217806.95750155923
2015-05-01,220762.83481727037
2015-06-01,206746.82472639103
2015-07-01,209102.5787329529
2015-08-01,201307.67255609302
2015-09-01,190434.09087753008
2015-10-01,199396.2029071058
2015-11-01,196436.8458563791
2015-12-01,179325.35603396682
2016-01-01,194751.17148324975
2016-02-01,188521.87480829688
2016-03-01,209531.91102658634
2016-04-01,201306.86102924208
2016-05-01,204038.81408914033
2016-06-01,191084.59523445147
2016-07-01,193261.88768579403
2016-08-01,186057.4892933783
2016-09-01,176007.64230517615
2016-10-01,184290.82417209787
2016-11-01,181555.654986594
2016-12-01,165740.4563207804
2017-01-01,179997.67988485922
2017-02-01,174240.28730916206
2017-03-01,193658.69565447065
2017-04-01,186056.73924423018
2017-05-01,188581.73156438294
2017-06-01,176608.8673150648
2017-07-01,178621.21767315333
2017-08-01,171962.59279441892
2017-09-01,162674.0779819169
2017-10-01,170329.7624471502
2017-11-01,167801.7976409123
2017-12-01,153184.68881900483
2018-01-01,166361.84787581034
2018-02-01,161040.6100217883
2018-03-01,178987.9652165831
2018-04-01,171961.89956569308
2018-05-01,174295.609580853
2018-06-01,163229.75683121211
2018-07-01,165089.66038307655
2018-08-01,158935.4636187255
2018-09-01,150350.60580712405
2018-10-01,157426.32931203255
2018-11-01,155089.87199325085
2018-12-01,141580.09100179665
2019-01-01,153759.00648473995
2019-02-01,148840.8821903152
2019-03-01,165428.62474677237
2019-04-01,158934.82290595683
2019-05-01,161091.7413216644
2019-06-01,150864.18887249127
2019-07-01,152583.19431721052
2019-08-01,146895.21241342323
2019-09-01,138960.70564532134
2019-10-01,145500.4034796927
2019-11-01,143340.94588399385
2019-12-01,130854.60644021067
2020-01-01,142110.9008889048
2020-02-01,137565.35204501532
2020-03-01,152896.4802325879
2020-04-01,146894.62023823423
2020-05-01,148888.14000795552
2020-06-01,139435.3819180759
2020-07-01,141024.1630761164
2020-08-01,135767.07764699575
2020-09-01,128433.65418971045
2020-10-01,134477.93329914895
2020-11-01,132482.06670653666
2020-12-01,120941.63738321871
2021-01-01,131345.20450651104
2021-02-01,127144.00643683069
2021-03-01,141313.71582940157
2021-04-01,135766.53033239272
2021-05-01,137609.02981838575
2021-06-01,128872.37107722102
2021-07-01,130340.7931673891
2021-08-01,125481.96139250755
2021-09-01,118704.08581994326
2021-10-01,124290.47694657648
2021-11-01,122445.80842266587
2021-12-01,111779.63123229612
2022-01-01,121395.06989927245
2022-02-01,117512.13610472914
2022-03-01,130608.41067848625
2022-04-01,125481.45554004953
2022-05-01,127184.37537432843
2022-06-01,119109.56744696927
2022-07-01,120466.74834251333
2022-08-01,115976.00027784922
2022-09-01,109711.5867273779
2022-10-01,114874.77744949292
2022-11-01,113169.85289406277
2022-12-01,103311.69834287206
2023-01-01,112198.71369661417
2023-02-01,108609.93387649165
2023-03-01,120714.09232882784
2023-04-01,115975.53274654703
2023-05-01,117549.44686919679
2023-06-01,110086.35085097598
2023-07-01,111340.71769519801
2023-08-01,107190.16893890197
2023-09-01,101400.31978761668
2023-10-01,106172.36990523922
2023-11-01,104596.60293028911
2023-12-01,95485.25877946152
2024-01-01,103699.03296418994
2024-02-01,100382.1233080382
2024-03-01,111569.32398973768
2024-04-01,107189.73682571368
2024-05-01,108644.4181416581
2024-06-01,101746.6934306504
2024-07-01,102906.03496356595
2024-08-01,99069.91351334644
2024-09-01,93718.67785105258
2024-10-01,98129.21845486201
2024-11-01,96672.8246505526
2024-12-01,88251.71583107368
2025-01-01,95843.250634634
2025-02-01,92777.61545540555
2025-03-01,103117.32305139014
2025-04-01,99069.51413515146
2025-05-01,100413.99519705032
2025-06-01,94038.81175137522
2025-07-01,95110.32667233614
2025-08-01,91564.81289936554
2025-09-01,86618.96329859507
2025-10-01,90695.38075825546
2025-11-01,89349.316938573
2025-12-01,81566.15425965442
