month,trend
2008-07-01,149363.06723999456
2008-08-01,148414.00596323155
2008-09-01,147470.9750748614
2008-10-01,146533.93625745983
2008-11-01,145602.85143707247
2008-12-01,144677.6827816698
2009-01-01,143758.39269960913
2009-02-01,142844.94383810638
2009-03-01,141937.29908171995
2009-04-01,141035.4215508418
2009-05-01,140139.27460019823
2009-06-01,139248.82181736268
2009-07-01,138364.02702127412
2009-08-01,137484.85426076886
2009-09-01,136611.2678131188
2009-10-01,135743.23218257938
2009-11-01,134880.7120989487
2009-12-01,134023.67251613367
2010-01-01,133172.07861072538
2010-02-01,132325.8957805857
2010-03-01,131485.0896434395
2010-04-01,130649.62603547922
2010-05-01,129819.47100997609
2010-06-01,128994.59083590002
2010-07-01,128174.95199655046
2010-08-01,127360.52118819389
2010-09-01,126551.26531870983
2010-10-01,125747.15150624796
2010-11-01,124948.14707789011
2010-12-01,124154.21956832436
2011-01-01,123365.33671852518
2011-02-01,122581.46647444207
2011-03-01,121802.57698569837
2011-04-01,121028.63660429651
2011-05-01,120259.6138833314
2011-06-01,119495.47757571402
2011-07-01,118736.19663290109
2011-08-01,117981.74020363284
2011-09-01,117232.07763268102
2011-10-01,116487.17845960155
2011-11-01,115747.01241749834
2011-12-01,115011.54943179284
2012-01-01,114280.75961900146
2012-02-01,113554.61328552253
2012-03-01,112833.08092642919
2012-04-01,112116.13322426993
2012-05-01,111403.74104787876
2012-06-01,110695.87545118996
2012-07-01,109992.50767206334
2012-08-01,109293.60913111489
2012-09-01,108599.1514305551
2012-10-01,107909.10635303613
2012-11-01,107223.44586050477
2012-12-01,106542.14209306256
2013-01-01,105865.16736783521
2013-02-01,105192.49417784615
2013-03-01,104524.09519090028
2013-04-01,103859.94324847274
2013-05-01,103200.01136460496
2013-06-01,102544.2727248092
2013-07-01,101892.70068497842
2013-08-01,101245.26877030324
2013-09-01,100601.95067419742
2013-10-01,99962.72025722747
2013-11-01,99327.55154605191
2013-12-01,98696.41873236529
2014-01-01,98069.29617184906
2014-02-01,97446.15838313062
2014-03-01,96826.98004674746
2014-04-01,96211.7360041178
2014-05-01,95600.40125651943
2014-06-01,94992.9509640734
2014-07-01,94389.36044473425
2014-08-01,93789.60517328828
2014-09-01,93193.6607803557
2014-10-01,92601.50305140163
2014-11-01,92013.10792575168
2014-12-01,91428.45149561384
2015-01-01,90847.51000510805
2015-02-01,90270.25984930045
2015-03-01,89696.67757324371
2015-04-01,89126.73987102525
2015-05-01,88560.42358481887
2015-06-01,87997.70570394503
2015-07-01,87438.56336393529
2015-08-01,86882.97384560284
2015-09-01,86330.91457412037
2015-10-01,85782.36311810224
2015-11-01,85237.29718869261
2015-12-01,84695.69463866096
2016-01-01,84157.53346150083
2016-02-01,83622.79179053685
2016-03-01,83091.44789803565
2016-04-01,82563.48019432272
2016-05-01,82038.86722690595
2016-06-01,81517.58767960356
2016-07-01,80999.62037167756
2016-08-01,80484.94425697415
2016-09-01,79973.53842306735
2016-10-01,79465.38209041038
2016-11-01,78960.45461149079
2016-12-01,78458.73546999122
2017-01-01,77960.20427995655
2017-02-01,77464.84078496513
2017-03-01,76972.62485730535
2017-04-01,76483.53649715861
2017-05-01,75997.55583178627
2017-06-01,75514.6631147218
2017-07-01,75034.83872496932
2017-08-01,74558.06316620536
2017-09-01,74084.31706598756
2017-10-01,73613.58117496713
2017-11-01,73145.83636610633
2017-12-01,72681.06363390211
2018-01-01,72219.2440936134
2018-02-01,71760.35898049346
2018-03-01,71304.38964902834
2018-04-01,70851.31757217819
2018-05-01,70401.12434062538
2018-06-01,69953.79166202612
2018-07-01,69509.30136026685
2018-08-01,69067.63537472638
2018-09-01,68628.77575954174
2018-10-01,68192.70468287861
2018-11-01,67759.4044262076
2018-12-01,67328.85738358342
2019-01-01,66901.04606093024
2019-02-01,66475.9530753306
2019-03-01,66053.56115431871
2019-04-01,65633.85313517934
2019-05-01,65216.81196425009
2019-06-01,64802.42069622818
2019-07-01,64390.66249348267
2019-08-01,63981.5206253694
2019-09-01,63574.97846755202
2019-10-01,63171.019501326125
2019-11-01,62769.62731294775
2019-12-01,62370.78559296711
2020-01-01,61974.478135565594
2020-02-01,61580.6888378969
2020-03-01,61189.40169943348
2020-04-01,60800.600821315995
2020-05-01,60414.27040570706
2020-06-01,60030.39475515002
2020-07-01,59648.95827193034
2020-08-01,59269.94545744256
2020-09-01,58893.34091156019
2020-10-01,58519.129332009725
2020-11-01,58147.29551374955
2020-12-01,57777.82434835134
2021-01-01,57410.70082338688
2021-02-01,57045.91002181773
2021-03-01,56683.43712138887
2021-04-01,56323.26739402703
2021-05-01,55965.38620524191
2021-06-01,55609.779013531304
2021-07-01,55256.4313697908
2021-08-01,54905.328916726416
2021-09-01,54556.45738827092
2021-10-01,54209.80260900487
2021-11-01,53865.35049357984
2021-12-01,53523.08704614676
2022-01-01,53182.998359786994
2022-02-01,52845.070615946956
2022-03-01,52509.29008387719
2022-04-01,52175.64312007421
2022-05-01,51844.11616772581
2022-06-01,51514.69575616093
2022-07-01,51187.3685003015
2022-08-01,50862.121100119286
2022-09-01,50538.94034009517
2022-10-01,50217.8130886819
2022-11-01,49898.72629777109
2022-12-01,49581.667002162765
2023-01-01,49266.62231903828
2023-02-01,48953.57944743741
2023-03-01,48642.52566773795
2023-04-01,48333.44834113861
2023-05-01,48026.33490914611
2023-06-01,47721.1728930642
2023-07-01,47417.94989348719
2023-08-01,47116.65358979593
2023-09-01,46817.271739656935
2023-10-01,46519.79217852549
2023-11-01,46224.202819150756
2023-12-01,45930.49165108523
2024-01-01,45638.64674019644
2024-02-01,45348.65622818182
2024-03-01,45060.508332087375
2024-04-01,44774.19134382864
2024-05-01,44489.69362971475
2024-06-01,44207.003629976185
2024-07-01,43926.10985829486
2024-08-01,43647.00090133716
2024-09-01,43369.66541829073
2024-10-01,43094.092140403074
2024-11-01,42820.2698705242
2024-12-01,42548.18748265144
2025-01-01,42277.83392147714
2025-02-01,42009.19820193991
2025-03-01,41742.269408778055
2025-04-01,41477.03669608585
2025-05-01,41213.48928687334
2025-06-01,40951.61647262789
2025-07-01,40691.40761287955
2025-08-01,40432.85213476854
2025-09-01,40175.939532615375
2025-10-01,39920.65936749448
2025-11-01,39667.00126680979
2025-12-01,39414.95492387308
