month,all_questions,genuine_fast
2008-07-01,4,4
2008-08-01,3749,2990
2008-09-01,14040,10280
2008-10-01,14578,10293
2008-11-01,12717,8681
2008-12-01,12081,8349
2009-01-01,15833,11377
2009-02-01,17581,12620
2009-03-01,20482,14509
2009-04-01,21336,14840
2009-05-01,25814,17918
2009-06-01,28326,19470
2009-07-01,32483,22148
2009-08-01,32775,22881
2009-09-01,33054,23211
2009-10-01,36331,25579
2009-11-01,38518,27069
2009-12-01,37795,26753
2010-01-01,44938,32295
2010-02-01,44811,31607
2010-03-01,52236,36230
2010-04-01,50083,34427
2010-05-01,51996,35412
2010-06-01,55750,38015
2010-07-01,60848,41309
2010-08-01,63660,43022
2010-09-01,61230,41515
2010-10-01,63777,43132
2010-11-01,69693,47610
2010-12-01,69573,46985
2011-01-01,79911,54543
2011-02-01,82942,55579
2011-03-01,100970,67478
2011-04-01,95562,63056
2011-05-01,100229,66207
2011-06-01,99026,65910
2011-07-01,100445,66344
2011-08-01,106917,69914
2011-09-01,101722,66494
2011-10-01,101032,67769
2011-11-01,108450,71576
2011-12-01,103172,67789
2012-01-01,115434,76119
2012-02-01,123299,80685
2012-03-01,133000,86387
2012-04-01,128064,82667
2012-05-01,133515,85287
2012-06-01,130323,82462
2012-07-01,141906,88205
2012-08-01,141528,87592
2012-09-01,132240,78813
2012-10-01,150083,87316
2012-11-01,148310,86190
2012-12-01,135471,78382
2013-01-01,157850,89717
2013-02-01,153402,85369
2013-03-01,173813,94736
2013-04-01,171546,92902
2013-05-01,166468,89582
2013-06-01,158334,84887
2013-07-01,176636,95076
2013-08-01,170215,91462
2013-09-01,165374,88169
2013-10-01,184133,97513
2013-11-01,176033,93473
2013-12-01,165192,86383
2014-01-01,188797,99496
2014-02-01,187751,96723
2014-03-01,207493,106941
2014-04-01,194022,99559
2014-05-01,176016,89212
2014-06-01,162354,82737
2014-07-01,177066,90735
2014-08-01,163406,83645
2014-09-01,165866,83681
2014-10-01,172886,87532
2014-11-01,166598,84020
2014-12-01,155299,77865
2015-01-01,165978,83399
2015-02-01,168512,83367
2015-03-01,189769,93069
2015-04-01,189967,92643
2015-05-01,185877,90858
2015-06-01,187914,91089
2015-07-01,195439,94101
2015-08-01,181413,86845
2015-09-01,177859,85055
2015-10-01,186418,87877
2015-11-01,178205,84044
2015-12-01,172586,81172
2016-01-01,181379,86706
2016-02-01,188742,88539
2016-03-01,201940,94105
2016-04-01,197067,91107
2016-05-01,189772,87864
2016-06-01,184660,84684
2016-07-01,176974,81290
2016-08-01,181960,83451
2016-09-01,171676,78133
2016-10-01,175399,79229
2016-11-01,175326,79096
2016-12-01,162421,73781
2017-01-01,176969,81832
2017-02-01,175280,80571
2017-03-01,201542,91253
2017-04-01,178508,80192
2017-05-01,186510,83945
2017-06-01,178174,79877
2017-07-01,179856,80901
2017-08-01,177742,79754
2017-09-01,162369,72277
2017-10-01,170083,75299
2017-11-01,169012,73904
2017-12-01,145330,64052
2018-01-01,160544,71288
2018-02-01,153155,68288
2018-03-01,173466,76094
2018-04-01,162981,70816
2018-05-01,168104,72672
2018-06-01,154885,66790
2018-07-01,160095,69323
2018-08-01,158544,69546
2018-09-01,144581,63141
2018-10-01,160501,70475
2018-11-01,149820,65525
2018-12-01,132269,57917
2019-01-01,149627,66178
2019-02-01,146421,64738
2019-03-01,161159,70254
2019-04-01,153558,66107
2019-05-01,151393,65075
2019-06-01,135935,58460
2019-07-01,151081,64813
2019-08-01,137180,58839
2019-09-01,136935,58287
2019-10-01,152721,65276
2019-11-01,148338,63161
2019-12-01,132623,56301
2020-01-01,146733,62455
2020-02-01,145191,61402
2020-03-01,156037,65534
2020-04-01,183016,78820
2020-05-01,186572,80453
2020-06-01,172002,72897
2020-07-01,166135,70979
2020-08-01,148452,63691
2020-09-01,141887,59894
2020-10-01,141948,60242
2020-11-01,135088,57675
2020-12-01,134035,56647
2021-01-01,140009,59393
2021-02-01,131810,55548
2021-03-01,148900,61903
2021-04-01,136022,55934
2021-05-01,133911,54892
2021-06-01,129106,52324
2021-07-01,124129,50477
2021-08-01,122273,49851
2021-09-01,119882,47983
2021-10-01,119008,48065
2021-11-01,119260,47550
2021-12-01,112278,43951
2022-01-01,119459,47690
2022-02-01,114114,44212
2022-03-01,123614,47200
2022-04-01,114422,43662
2022-05-01,116346,43504
2022-06-01,111741,42013
2022-07-01,111059,42451
2022-08-01,113047,43444
2022-09-01,103965,40081
2022-10-01,106366,40576
2022-11-01,109718,40891
2022-12-01,96767,35796
2023-01-01,97209,35996
2023-02-01,85973,31128
2023-03-01,87543,31191
2023-04-01,68746,23754
2023-05-01,66749,22954
2023-06-01,63857,21599
2023-07-01,62937,21414
2023-08-01,60315,20345
2023-09-01,53046,17806
2023-10-01,52742,17895
2023-11-01,50646,16779
2023-12-01,42601,13970
2024-01-01,47852,16094
2024-02-01,46291,15130
2024-03-01,45069,14731
2024-04-01,42774,13763
2024-05-01,40484,12707
2024-06-01,32243,10225
2024-07-01,31740,10475
2024-08-01,28057,9210
2024-09-01,24944,8143
2024-10-01,23318,7750
2024-11-01,20889,6831
2024-12-01,18028,5732
2025-01-01,22394,6010
2025-02-01,19340,5067
2025-03-01,18966,4991
2025-04-01,14138,3715
2025-05-01,11823,3211
2025-06-01,9392,2530
2025-07-01,7841,2210
2025-08-01,5885,1719
2025-09-01,6131,1579
2025-10-01,5415,1463
2025-11-01,4366,1143
2025-12-01,3838,843
