month,all_questions,composite_good,canonical_good
2008-07-01,4,4,3
2008-08-01,3749,1172,911
2008-09-01,14040,2961,2755
2008-10-01,14578,2720,2462
2008-11-01,12717,1946,1823
2008-12-01,12081,1708,1622
2009-01-01,15833,4259,2049
2009-02-01,17581,4405,2118
2009-03-01,20482,4821,2179
2009-04-01,21336,4689,2182
2009-05-01,25814,5445,2513
2009-06-01,28326,5855,2689
2009-07-01,32483,6166,2862
2009-08-01,32775,6058,2645
2009-09-01,33054,5970,2578
2009-10-01,36331,6033,2650
2009-11-01,38518,6112,2612
2009-12-01,37795,5901,2538
2010-01-01,44938,11525,3265
2010-02-01,44811,11807,3125
2010-03-01,52236,12798,3495
2010-04-01,50083,11937,3219
2010-05-01,51996,11833,3186
2010-06-01,55750,11979,3131
2010-07-01,60848,12355,3303
2010-08-01,63660,13040,3606
2010-09-01,61230,12432,3466
2010-10-01,63777,12674,3484
2010-11-01,69693,13869,3711
2010-12-01,69573,13204,3601
2011-01-01,79911,20319,4380
2011-02-01,82942,20009,4189
2011-03-01,100970,23314,4891
2011-04-01,95562,21421,4492
2011-05-01,100229,24235,4503
2011-06-01,99026,23644,4287
2011-07-01,100445,22301,3955
2011-08-01,106917,23588,4371
2011-09-01,101722,21652,3971
2011-10-01,101032,21909,3906
2011-11-01,108450,23375,4042
2011-12-01,103172,21791,3829
2012-01-01,115434,24749,4176
2012-02-01,123299,24565,4226
2012-03-01,133000,25724,4543
2012-04-01,128064,24667,4101
2012-05-01,133515,25157,4433
2012-06-01,130323,24549,4248
2012-07-01,141906,24764,4303
2012-08-01,141528,24919,4260
2012-09-01,132240,22706,3925
2012-10-01,150083,25338,4370
2012-11-01,148310,24810,4122
2012-12-01,135471,23240,3728
2013-01-01,157850,36453,4306
2013-02-01,153402,33206,4095
2013-03-01,173813,37129,4582
2013-04-01,171546,35171,4264
2013-05-01,166468,33687,4256
2013-06-01,158334,32013,3826
2013-07-01,176636,34549,4264
2013-08-01,170215,33423,4174
2013-09-01,165374,31344,3948
2013-10-01,184133,33102,4279
2013-11-01,176033,30740,3764
2013-12-01,165192,29326,3327
2014-01-01,188797,32566,3776
2014-02-01,187751,30324,3466
2014-03-01,207493,31884,3505
2014-04-01,194022,28861,3163
2014-05-01,176016,26231,2799
2014-06-01,162354,25455,3087
2014-07-01,177066,27198,2941
2014-08-01,163406,25498,2650
2014-09-01,165866,25246,2809
2014-10-01,172886,25953,2906
2014-11-01,166598,24245,2572
2014-12-01,155299,24760,2430
2015-01-01,165978,25685,2622
2015-02-01,168512,25146,2688
2015-03-01,189769,26892,2928
2015-04-01,189967,31415,3021
2015-05-01,185877,32757,2970
2015-06-01,187914,31701,2826
2015-07-01,195439,32740,2967
2015-08-01,181413,30038,2659
2015-09-01,177859,29302,2710
2015-10-01,186418,29154,2719
2015-11-01,178205,27705,2528
2015-12-01,172586,28643,2482
2016-01-01,181379,29778,2632
2016-02-01,188742,29245,2710
2016-03-01,201940,30020,2838
2016-04-01,197067,28807,2652
2016-05-01,189772,28246,2573
2016-06-01,184660,26991,2587
2016-07-01,176974,26099,2392
2016-08-01,181960,27294,2557
2016-09-01,171676,25228,2380
2016-10-01,175399,24422,2239
2016-11-01,175326,24841,2289
2016-12-01,162421,23590,2206
2017-01-01,176969,46035,2315
2017-02-01,175280,44668,2264
2017-03-01,201542,49547,2586
2017-04-01,178508,43194,2287
2017-05-01,186510,44674,2227
2017-06-01,178174,43204,2267
2017-07-01,179856,44214,2165
2017-08-01,177742,44118,2104
2017-09-01,162369,39786,1923
2017-10-01,170083,40467,2038
2017-11-01,169012,39487,1871
2017-12-01,145330,35053,1655
2018-01-01,160544,39127,1846
2018-02-01,153155,37312,1656
2018-03-01,173466,41227,1864
2018-04-01,162981,38349,1758
2018-05-01,168104,40151,1827
2018-06-01,154885,36317,1612
2018-07-01,160095,37546,1592
2018-08-01,158544,38133,1611
2018-09-01,144581,34492,1423
2018-10-01,160501,37797,1480
2018-11-01,149820,35436,1283
2018-12-01,132269,31454,1244
2019-01-01,149627,35592,1325
2019-02-01,146421,34881,1281
2019-03-01,161159,37650,1358
2019-04-01,153558,35032,1157
2019-05-01,151393,34148,1132
2019-06-01,135935,31158,1080
2019-07-01,151081,33871,1158
2019-08-01,137180,32107,1022
2019-09-01,136935,31010,1024
2019-10-01,152721,33470,1119
2019-11-01,148338,31752,992
2019-12-01,132623,29587,977
2020-01-01,146733,32715,1093
2020-02-01,145191,31275,1026
2020-03-01,156037,32682,1004
2020-04-01,183016,38022,1150
2020-05-01,186572,39176,1113
2020-06-01,172002,36359,1081
2020-07-01,166135,34912,1041
2020-08-01,148452,30991,906
2020-09-01,141887,29181,892
2020-10-01,141948,29572,888
2020-11-01,135088,27861,806
2020-12-01,134035,27802,779
2021-01-01,140009,28501,881
2021-02-01,131810,26629,748
2021-03-01,148900,29794,738
2021-04-01,136022,26288,678
2021-05-01,133911,25551,715
2021-06-01,129106,24608,622
2021-07-01,124129,23931,666
2021-08-01,122273,23555,676
2021-09-01,119882,22936,593
2021-10-01,119008,22235,624
2021-11-01,119260,22395,636
2021-12-01,112278,21913,545
2022-01-01,119459,23492,619
2022-02-01,114114,21236,595
2022-03-01,123614,21923,563
2022-04-01,114422,20030,510
2022-05-01,116346,19772,488
2022-06-01,111741,19122,425
2022-07-01,111059,18676,394
2022-08-01,113047,19045,403
2022-09-01,103965,16681,394
2022-10-01,106366,16848,357
2022-11-01,109718,16715,350
2022-12-01,96767,15567,317
2023-01-01,97209,15666,310
2023-02-01,85973,12979,276
2023-03-01,87543,13678,264
2023-04-01,68746,10590,223
2023-05-01,66749,10001,213
2023-06-01,63857,9214,211
2023-07-01,62937,9029,167
2023-08-01,60315,8652,174
2023-09-01,53046,7670,167
2023-10-01,52742,7379,155
2023-11-01,50646,7164,143
2023-12-01,42601,6106,122
2024-01-01,47852,6875,129
2024-02-01,46291,6467,122
2024-03-01,45069,6186,101
2024-04-01,42774,5836,90
2024-05-01,40484,5625,72
2024-06-01,32243,4432,85
2024-07-01,31740,4400,72
2024-08-01,28057,3894,48
2024-09-01,24944,3677,44
2024-10-01,23318,3434,51
2024-11-01,20889,3165,42
2024-12-01,18028,2704,30
2025-01-01,22394,2843,55
2025-02-01,19340,2525,37
2025-03-01,18966,2503,29
2025-04-01,14138,2067,27
2025-05-01,11823,1892,11
2025-06-01,9392,1564,16
2025-07-01,7841,1407,14
2025-08-01,5885,1151,4
2025-09-01,6131,1053,5
2025-10-01,5415,968,3
2025-11-01,4366,789,9
2025-12-01,3838,662,7
