CreationDate,n_posts
2008-07-01,6
2008-08-01,18175
2008-09-01,73365
2008-10-01,67607
2008-11-01,52966
2008-12-01,51649
2009-01-01,67952
2009-02-01,74402
2009-03-01,81806
2009-04-01,83593
2009-05-01,99200
2009-06-01,107867
2009-07-01,119909
2009-08-01,116824
2009-09-01,115389
2009-10-01,126697
2009-11-01,136760
2009-12-01,134111
2010-01-01,153147
2010-02-01,147609
2010-03-01,167568
2010-04-01,156955
2010-05-01,161866
2010-06-01,171337
2010-07-01,187767
2010-08-01,194324
2010-09-01,184613
2010-10-01,191379
2010-11-01,212175
2010-12-01,209598
2011-01-01,240909
2011-02-01,247007
2011-03-01,302751
2011-04-01,283344
2011-05-01,294106
2011-06-01,291785
2011-07-01,293677
2011-08-01,312204
2011-09-01,291008
2011-10-01,286335
2011-11-01,311423
2011-12-01,296855
2012-01-01,331326
2012-02-01,349003
2012-03-01,374232
2012-04-01,355848
2012-05-01,370039
2012-06-01,357940
2012-07-01,387575
2012-08-01,388237
2012-09-01,359016
2012-10-01,408867
2012-11-01,396580
2012-12-01,365592
2013-01-01,424350
2013-02-01,408788
2013-03-01,463419
2013-04-01,453377
2013-05-01,440580
2013-06-01,415875
2013-07-01,464426
2013-08-01,452858
2013-09-01,435841
2013-10-01,483983
2013-11-01,459143
2013-12-01,437595
2014-01-01,496646
2014-02-01,485969
2014-03-01,525947
2014-04-01,489241
2014-05-01,439898
2014-06-01,400695
2014-07-01,440267
2014-08-01,406993
2014-09-01,410383
2014-10-01,424973
2014-11-01,410202
2014-12-01,387444
2015-01-01,408363
2015-02-01,411771
2015-03-01,459170
2015-04-01,471873
2015-05-01,458754
2015-06-01,459404
2015-07-01,477642
2015-08-01,443457
2015-09-01,434115
2015-10-01,451021
2015-11-01,428471
2015-12-01,420628
2016-01-01,442452
2016-02-01,456508
2016-03-01,486966
2016-04-01,473564
2016-05-01,458022
2016-06-01,442479
2016-07-01,424383
2016-08-01,436888
2016-09-01,412179
2016-10-01,418162
2016-11-01,415729
2016-12-01,389984
2017-01-01,425952
2017-02-01,420288
2017-03-01,480177
2017-04-01,422890
2017-05-01,442817
2017-06-01,423082
2017-07-01,430975
2017-08-01,427077
2017-09-01,386690
2017-10-01,401577
2017-11-01,398026
2017-12-01,341897
2018-01-01,378307
2018-02-01,360942
2018-03-01,407418
2018-04-01,382370
2018-05-01,392316
2018-06-01,361127
2018-07-01,376632
2018-08-01,377525
2018-09-01,344551
2018-10-01,381272
2018-11-01,351447
2018-12-01,314672
2019-01-01,357781
2019-02-01,349456
2019-03-01,381266
2019-04-01,360961
2019-05-01,353897
2019-06-01,318975
2019-07-01,353351
2019-08-01,326852
2019-09-01,323651
2019-10-01,357850
2019-11-01,349641
2019-12-01,314652
2020-01-01,345399
2020-02-01,338432
2020-03-01,353377
2020-04-01,414978
2020-05-01,428362
2020-06-01,395861
2020-07-01,384937
2020-08-01,345362
2020-09-01,329310
2020-10-01,330591
2020-11-01,312377
2020-12-01,312327
2021-01-01,324911
2021-02-01,303007
2021-03-01,338121
2021-04-01,310083
2021-05-01,307289
2021-06-01,296371
2021-07-01,285491
2021-08-01,282916
2021-09-01,277891
2021-10-01,273835
2021-11-01,270289
2021-12-01,257723
2022-01-01,274066
2022-02-01,259263
2022-03-01,277571
2022-04-01,259372
2022-05-01,264017
2022-06-01,255238
2022-07-01,254899
2022-08-01,261607
2022-09-01,242549
2022-10-01,244056
2022-11-01,249340
2022-12-01,220801
2023-01-01,223722
2023-02-01,197097
2023-03-01,201273
2023-04-01,156264
2023-05-01,152752
2023-06-01,144652
2023-07-01,143624
2023-08-01,139106
2023-09-01,123547
2023-10-01,122995
2023-11-01,117391
2023-12-01,99439
2024-01-01,112412
2024-02-01,107737
2024-03-01,105814
2024-04-01,99740
2024-05-01,95836
2024-06-01,77651
2024-07-01,77908
2024-08-01,70855
2024-09-01,62761
2024-10-01,60172
2024-11-01,53915
2024-12-01,46248
2025-01-01,51886
2025-02-01,45298
2025-03-01,43760
2025-04-01,33758
2025-05-01,28606
2025-06-01,22893
2025-07-01,20513
2025-08-01,16054
2025-09-01,15750
2025-10-01,14351
2025-11-01,12083
2025-12-01,10321
