CreationDate,n_posts
2008-07-01,6
2008-08-01,18136
2008-09-01,73198
2008-10-01,67444
2008-11-01,52819
2008-12-01,51521
2009-01-01,67756
2009-02-01,74176
2009-03-01,81544
2009-04-01,83355
2009-05-01,98908
2009-06-01,107534
2009-07-01,119517
2009-08-01,116474
2009-09-01,115088
2009-10-01,126351
2009-11-01,136406
2009-12-01,133709
2010-01-01,152666
2010-02-01,147096
2010-03-01,167066
2010-04-01,156467
2010-05-01,161351
2010-06-01,170598
2010-07-01,186906
2010-08-01,193425
2010-09-01,183783
2010-10-01,190490
2010-11-01,211210
2010-12-01,208627
2011-01-01,239798
2011-02-01,245822
2011-03-01,301202
2011-04-01,281832
2011-05-01,292405
2011-06-01,290194
2011-07-01,292082
2011-08-01,310548
2011-09-01,289329
2011-10-01,284842
2011-11-01,309792
2011-12-01,295261
2012-01-01,329735
2012-02-01,347445
2012-03-01,372469
2012-04-01,354243
2012-05-01,368078
2012-06-01,356019
2012-07-01,385162
2012-08-01,385725
2012-09-01,356193
2012-10-01,404837
2012-11-01,393341
2012-12-01,362400
2013-01-01,420648
2013-02-01,405398
2013-03-01,459200
2013-04-01,449613
2013-05-01,436784
2013-06-01,412188
2013-07-01,460563
2013-08-01,449016
2013-09-01,432534
2013-10-01,480361
2013-11-01,455578
2013-12-01,433578
2014-01-01,492447
2014-02-01,481426
2014-03-01,522339
2014-04-01,485777
2014-05-01,434842
2014-06-01,396417
2014-07-01,436161
2014-08-01,403417
2014-09-01,406752
2014-10-01,421313
2014-11-01,406991
2014-12-01,383795
2015-01-01,404777
2015-02-01,408442
2015-03-01,455158
2015-04-01,467124
2015-05-01,453994
2015-06-01,454659
2015-07-01,472923
2015-08-01,438870
2015-09-01,429478
2015-10-01,446030
2015-11-01,423258
2015-12-01,415197
2016-01-01,437222
2016-02-01,450956
2016-03-01,481115
2016-04-01,467682
2016-05-01,452291
2016-06-01,436551
2016-07-01,419095
2016-08-01,431628
2016-09-01,406853
2016-10-01,412572
2016-11-01,410266
2016-12-01,384935
2017-01-01,420447
2017-02-01,414879
2017-03-01,474065
2017-04-01,417447
2017-05-01,437353
2017-06-01,417504
2017-07-01,425122
2017-08-01,420948
2017-09-01,381002
2017-10-01,395466
2017-11-01,391639
2017-12-01,336581
2018-01-01,372228
2018-02-01,355284
2018-03-01,401150
2018-04-01,376339
2018-05-01,386141
2018-06-01,355694
2018-07-01,371026
2018-08-01,372198
2018-09-01,339571
2018-10-01,376257
2018-11-01,346716
2018-12-01,310477
2019-01-01,352896
2019-02-01,344916
2019-03-01,376080
2019-04-01,356104
2019-05-01,349112
2019-06-01,314362
2019-07-01,348590
2019-08-01,321960
2019-09-01,319248
2019-10-01,353144
2019-11-01,345061
2019-12-01,310237
2020-01-01,339513
2020-02-01,333059
2020-03-01,347816
2020-04-01,408820
2020-05-01,421994
2020-06-01,390093
2020-07-01,379047
2020-08-01,340005
2020-09-01,324090
2020-10-01,325129
2020-11-01,307263
2020-12-01,307201
2021-01-01,319661
2021-02-01,298019
2021-03-01,333128
2021-04-01,305334
2021-05-01,302423
2021-06-01,291730
2021-07-01,280973
2021-08-01,278395
2021-09-01,273481
2021-10-01,269425
2021-11-01,265959
2021-12-01,253675
2022-01-01,269682
2022-02-01,255315
2022-03-01,273571
2022-04-01,255462
2022-05-01,259954
2022-06-01,251301
2022-07-01,250969
2022-08-01,257711
2022-09-01,238876
2022-10-01,240221
2022-11-01,245634
2022-12-01,217329
2023-01-01,220208
2023-02-01,194193
2023-03-01,198271
2023-04-01,153981
2023-05-01,150506
2023-06-01,142883
2023-07-01,141815
2023-08-01,137100
2023-09-01,121588
2023-10-01,121125
2023-11-01,115611
2023-12-01,97816
2024-01-01,110711
2024-02-01,106122
2024-03-01,104216
2024-04-01,98205
2024-05-01,94452
2024-06-01,76448
2024-07-01,76783
2024-08-01,69844
2024-09-01,61838
2024-10-01,59378
2024-11-01,53153
2024-12-01,45635
2025-01-01,51089
2025-02-01,44609
2025-03-01,43093
2025-04-01,33313
2025-05-01,28202
2025-06-01,22580
2025-07-01,20240
2025-08-01,15878
2025-09-01,15606
2025-10-01,14212
2025-11-01,11954
2025-12-01,10140
